App,Version,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
devst_devst_awaji_monkey,utility,D:\ryosuke-ku\data_set\Git_20161108\utility\devst_devst_awaji_monkey\devst_awaji_monkey\src\test\java\features\monkey\RomanConverterTest.java,D:\ryosuke-ku\data_set\Git_20161108\utility\devst_devst_awaji_monkey\devst_awaji_monkey\src\main\java\features\monkey\RomanConverter.java,devst_devst_awaji_monkey/devst_awaji_monkey/src/test/java/features/monkey/RomanConverterTest.java,devst_devst_awaji_monkey/devst_awaji_monkey/src/main/java/features/monkey/RomanConverter.java,true,false,false,false,false,false,true,false,false,false,false,false,false,true,true,false,false,false,false,true,false
vishnun_SHOPAHOLIC,utility,D:\ryosuke-ku\data_set\Git_20161108\utility\vishnun_SHOPAHOLIC\SHOPAHOLIC\test\twu\mathematician\RectangleViewerTest.java,D:\ryosuke-ku\data_set\Git_20161108\utility\vishnun_SHOPAHOLIC\SHOPAHOLIC\src\twu\mathematician\RectangleViewer.java,vishnun_SHOPAHOLIC/SHOPAHOLIC/test/twu/mathematician/RectangleViewerTest.java,vishnun_SHOPAHOLIC/SHOPAHOLIC/src/twu/mathematician/RectangleViewer.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
devst_devst_awaji_bird,utility,D:\ryosuke-ku\data_set\Git_20161108\utility\devst_devst_awaji_bird\devst_awaji_bird\src\test\java\features\bird\FizzBuzzTest.java,D:\ryosuke-ku\data_set\Git_20161108\utility\devst_devst_awaji_bird\devst_awaji_bird\src\main\java\features\bird\FizzBuzz.java,devst_devst_awaji_bird/devst_awaji_bird/src/test/java/features/bird/FizzBuzzTest.java,devst_devst_awaji_bird/devst_awaji_bird/src/main/java/features/bird/FizzBuzz.java,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,false
devst_devst_awaji_monkey,utility,D:\ryosuke-ku\data_set\Git_20161108\utility\devst_devst_awaji_monkey\devst_awaji_monkey\src\test\java\features\monkey\FizzBuzzTest.java,D:\ryosuke-ku\data_set\Git_20161108\utility\devst_devst_awaji_monkey\devst_awaji_monkey\src\main\java\features\monkey\FizzBuzz.java,devst_devst_awaji_monkey/devst_awaji_monkey/src/test/java/features/monkey/FizzBuzzTest.java,devst_devst_awaji_monkey/devst_awaji_monkey/src/main/java/features/monkey/FizzBuzz.java,true,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false
vishnun_SHOPAHOLIC,utility,D:\ryosuke-ku\data_set\Git_20161108\utility\vishnun_SHOPAHOLIC\SHOPAHOLIC\test\CalculatorTest.java,D:\ryosuke-ku\data_set\Git_20161108\utility\vishnun_SHOPAHOLIC\SHOPAHOLIC\src\Calculator.java,vishnun_SHOPAHOLIC/SHOPAHOLIC/test/CalculatorTest.java,vishnun_SHOPAHOLIC/SHOPAHOLIC/src/Calculator.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false
devst_devst_awaji_monkey,utility,D:\ryosuke-ku\data_set\Git_20161108\utility\devst_devst_awaji_monkey\devst_awaji_monkey\src\test\java\features\monkey\PokerTest.java,D:\ryosuke-ku\data_set\Git_20161108\utility\devst_devst_awaji_monkey\devst_awaji_monkey\src\main\java\features\monkey\Poker.java,devst_devst_awaji_monkey/devst_awaji_monkey/src/test/java/features/monkey/PokerTest.java,devst_devst_awaji_monkey/devst_awaji_monkey/src/main/java/features/monkey/Poker.java,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
devst_devst_awaji_turtle,utility,D:\ryosuke-ku\data_set\Git_20161108\utility\devst_devst_awaji_turtle\devst_awaji_turtle\src\test\java\features\turtle\FirstPairWorkTest.java,D:\ryosuke-ku\data_set\Git_20161108\utility\devst_devst_awaji_turtle\devst_awaji_turtle\src\main\java\features\turtle\FirstPairWork.java,devst_devst_awaji_turtle/devst_awaji_turtle/src/test/java/features/turtle/FirstPairWorkTest.java,devst_devst_awaji_turtle/devst_awaji_turtle/src/main/java/features/turtle/FirstPairWork.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
vishnun_SHOPAHOLIC,utility,D:\ryosuke-ku\data_set\Git_20161108\utility\vishnun_SHOPAHOLIC\SHOPAHOLIC\test\twu\MathStudent\CoinTest.java,D:\ryosuke-ku\data_set\Git_20161108\utility\vishnun_SHOPAHOLIC\SHOPAHOLIC\src\twu\MathStudent\Coin.java,vishnun_SHOPAHOLIC/SHOPAHOLIC/test/twu/MathStudent/CoinTest.java,vishnun_SHOPAHOLIC/SHOPAHOLIC/src/twu/MathStudent/Coin.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
devst_devst_awaji_bird,utility,D:\ryosuke-ku\data_set\Git_20161108\utility\devst_devst_awaji_bird\devst_awaji_bird\src\test\java\features\bird\MyersTest.java,D:\ryosuke-ku\data_set\Git_20161108\utility\devst_devst_awaji_bird\devst_awaji_bird\src\main\java\features\bird\Myers.java,devst_devst_awaji_bird/devst_awaji_bird/src/test/java/features/bird/MyersTest.java,devst_devst_awaji_bird/devst_awaji_bird/src/main/java/features/bird/Myers.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
devst_devst_awaji_penguin,utility,D:\ryosuke-ku\data_set\Git_20161108\utility\devst_devst_awaji_penguin\devst_awaji_penguin\src\test\java\features\penguin\FizzBuzzTest.java,D:\ryosuke-ku\data_set\Git_20161108\utility\devst_devst_awaji_penguin\devst_awaji_penguin\src\main\java\features\penguin\FizzBuzz.java,devst_devst_awaji_penguin/devst_awaji_penguin/src/test/java/features/penguin/FizzBuzzTest.java,devst_devst_awaji_penguin/devst_awaji_penguin/src/main/java/features/penguin/FizzBuzz.java,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false
